,Start,End
0,2017-11-21 09:28:48.848278,2017-11-21 09:28:49.971031
1,2017-11-21 09:28:50.062885,2017-11-21 09:28:50.471014
2,2017-11-21 09:28:50.552056,2017-11-21 09:28:50.612098
3,2017-11-21 09:28:50.708167,2017-11-21 09:28:50.935329
4,2017-11-21 09:28:51.305977,2017-11-21 09:28:51.552201
5,2017-11-21 09:28:53.923888,2017-11-21 09:28:54.098011
6,2017-11-21 09:28:54.167061,2017-11-21 09:28:54.226103
7,2017-11-21 09:28:57.158897,2017-11-21 09:28:58.690829
8,2017-11-21 09:29:01.861084,2017-11-21 09:29:01.911120
9,2017-11-21 09:29:02.883812,2017-11-21 09:29:02.940854
10,2017-11-21 09:29:04.924042,2017-11-21 09:29:04.972076
11,2017-11-21 09:29:05.264718,2017-11-21 09:29:05.316777
12,2017-11-21 09:29:05.422841,2017-11-21 09:29:05.473878
13,2017-11-21 09:29:05.577951,2017-11-21 09:29:05.629989
14,2017-11-21 09:29:07.220288,2017-11-21 09:29:07.280332
15,2017-11-21 09:29:08.377929,2017-11-21 09:29:08.441033
16,2017-11-21 09:29:08.550162,2017-11-21 09:29:08.612209
17,2017-11-21 09:29:08.847374,2017-11-21 09:29:09.032598
18,2017-11-21 09:29:09.190694,2017-11-21 09:29:09.349518
19,2017-11-21 09:29:09.516389,2017-11-21 09:29:09.665496
20,2017-11-21 09:29:09.856110,2017-11-21 09:29:09.912171
21,2017-11-21 09:29:15.530944,2017-11-21 09:29:17.615806
22,2017-11-21 09:29:17.721218,2017-11-21 09:29:17.787342
23,2017-11-21 09:29:17.891415,2017-11-21 09:29:20.085984
24,2017-11-21 09:29:20.188057,2017-11-21 09:29:20.333160
25,2017-11-21 09:29:20.437234,2017-11-21 09:29:20.491273
26,2017-11-21 09:29:20.598350,2017-11-21 09:29:20.773796
27,2017-11-21 09:29:20.884537,2017-11-21 09:29:20.940600
28,2017-11-21 09:29:21.047676,2017-11-21 09:29:23.661867
29,2017-11-21 09:29:23.761693,2017-11-21 09:29:23.912817
30,2017-11-21 09:29:24.012872,2017-11-21 09:29:24.162979
31,2017-11-21 09:29:24.272056,2017-11-21 09:29:24.438175
32,2017-11-21 09:29:32.693047,2017-11-21 09:29:32.755092
33,2017-11-21 09:29:32.863168,2017-11-21 09:29:33.707963
34,2017-11-21 09:29:35.161373,2017-11-21 09:29:35.224488
35,2017-11-21 09:29:35.606783,2017-11-21 09:29:35.663822
36,2017-11-21 09:29:35.795916,2017-11-21 09:29:36.104013
37,2017-11-21 09:29:36.483254,2017-11-21 09:29:36.538314
38,2017-11-21 09:29:36.727449,2017-11-21 09:29:36.782488
39,2017-11-21 09:29:37.165760,2017-11-21 09:29:37.219799
40,2017-11-21 09:29:37.526016,2017-11-21 09:29:37.836409
41,2017-11-21 09:29:38.134298,2017-11-21 09:29:38.192361
42,2017-11-21 09:29:38.264412,2017-11-21 09:29:38.881400
43,2017-11-21 09:29:39.014496,2017-11-21 09:29:39.664550
44,2017-11-21 09:29:39.988780,2017-11-21 09:29:40.054826
45,2017-11-21 09:29:40.121874,2017-11-21 09:29:40.178916
46,2017-11-21 09:29:40.441102,2017-11-21 09:29:40.507148
47,2017-11-21 09:29:40.888421,2017-11-21 09:29:40.947462
48,2017-11-21 09:29:41.141600,2017-11-21 09:29:41.337740
49,2017-11-21 09:29:42.138310,2017-11-21 09:29:42.196351
50,2017-11-21 09:29:42.296422,2017-11-21 09:29:42.444527
51,2017-11-21 09:29:42.551603,2017-11-21 09:29:42.837807
52,2017-11-21 09:29:43.000923,2017-11-21 09:29:43.051960
53,2017-11-21 09:29:43.777516,2017-11-21 09:29:43.830554
54,2017-11-21 09:29:44.019688,2017-11-21 09:29:44.083734
55,2017-11-21 09:29:44.232840,2017-11-21 09:29:44.283877
56,2017-11-21 09:29:44.383947,2017-11-21 09:29:44.727191
57,2017-11-21 09:29:44.841276,2017-11-21 09:29:44.895312
58,2017-11-21 09:29:45.064454,2017-11-21 09:29:45.302646
59,2017-11-21 09:29:45.466762,2017-11-21 09:29:45.521802
60,2017-11-21 09:29:51.294908,2017-11-21 09:29:51.927494
61,2017-11-21 09:29:52.028495,2017-11-21 09:29:52.084535
62,2017-11-21 09:29:55.494788,2017-11-21 09:29:55.558856
63,2017-11-21 09:29:57.819554,2017-11-21 09:29:57.883601
64,2017-11-21 09:29:58.076711,2017-11-21 09:29:58.197796
65,2017-11-21 09:29:59.282782,2017-11-21 09:30:00.594347
66,2017-11-21 09:30:01.948758,2017-11-21 09:30:03.836558
67,2017-11-21 09:30:03.900161,2017-11-21 09:30:04.085020
68,2017-11-21 09:30:04.221139,2017-11-21 09:30:04.395812
69,2017-11-21 09:30:06.313604,2017-11-21 09:30:08.970589
70,2017-11-21 09:30:09.039666,2017-11-21 09:30:09.096706
71,2017-11-21 09:30:09.172247,2017-11-21 09:30:09.471459
72,2017-11-21 09:30:09.538508,2017-11-21 09:30:09.723025
73,2017-11-21 09:30:09.792074,2017-11-21 09:30:09.907155
74,2017-11-21 09:30:12.271849,2017-11-21 09:30:12.418954
75,2017-11-21 09:30:15.337117,2017-11-21 09:30:15.396159
76,2017-11-21 09:30:15.492227,2017-11-21 09:30:15.493229
